,Negotiation,Equality,Communal Sharing,Spatial Distance,Endurance,Synchronicity,Activity Intensity,Importance for society,Activeness,Uniqueness,Goods Exchange,Attachment,Love Expression,Socioemotional,Occupational,Mating,Information Exchange,Conflict,Valence Evaluation,Coercion,Affiliation/Coalition,Service Exchange,Visibility,Strategic,Formality and Regulation,Concreteness,Expected Reciprocity,Importance for individuals involved,Intimacy,Money Exchange
Parent - Child,45.125,2.1,93.58333333,90.5,99.64705882,77.83333333,94.5,89.38888889,92.55,76.46666667,44.26666667,99.27272727,100,92.33333333,11.83333333,69.63157895,93.89473684,57.16666667,80,37.52631579,71,20.1875,42.78947368,21.23076923,12.92307692,32.57142857,60.41176471,99.15384615,83.63157895,34.15384615
Parent - Teenager,71.46153846,20.2,93.42105263,90.1875,89.52941176,62.05555556,88.05,83.25,85.35294118,80.4375,62.61538462,88.05,93.26086957,85.14285714,21.9,51.61538462,87.73333333,63.23809524,56.25,54.63157895,77.3125,34.88888889,34.92307692,23.61904762,19.52173913,32.5,70.66666667,94.27272727,56.61111111,36.33333333
Wife - Husband,74.125,87,90.95833333,96.42105263,94.45454545,95.4,96.22727273,77.0952381,98.86666667,97.7,56.38888889,97.69230769,98.7826087,91.8,6.529411765,97.70588235,87.9047619,37.06666667,95.95454545,22.23809524,98,42.17391304,40.19047619,27.5625,20.28571429,43.81481481,92.76190476,99.38888889,99.23809524,36.29411765
Fiance - Fiancee,63.06666667,87.27777778,85.16666667,95.75,89.71428571,79.2,98,39.21428571,97.78947368,86.76190476,39.85714286,99,100,90.73913043,6,92.76923077,64.71428571,26.13636364,98,18.8125,89.42857143,23,32.13333333,17.15384615,21.47368421,35.5,91.1,98.83333333,98.68421053,21.13333333
Between Siblings,58.71428571,78,85,83.85714286,99.25,81.5,90.14285714,64.14285714,79.94736842,89.8,37.11764706,91.45454545,91.42857143,95.92307692,5.411764706,10.1,78.07142857,50.52941176,64.05263158,35.86666667,88.17647059,23.44444444,48.18181818,26.41666667,2.588235294,36.26666667,82.92857143,94.1,58.11111111,12.82352941
Between divorced spouses,69.61111111,62.4375,27.44444444,20.8,62.71428571,33.42857143,46.66666667,34.125,54.95652174,96,37.66666667,38.6875,28.33333333,61.2,5.947368421,47.44444444,39.76923077,90.83333333,31.7,44.42857143,14.35714286,13.26086957,30.44444444,47.125,54.04761905,50.94117647,42.84615385,39.15384615,32.4,70.0625
Between a person and their in-laws,56.61538462,55.8,63.08333333,54.70588235,90.25,58.38461538,67.95,43,65.82352941,73.89473684,30.6,66.45,71.625,87.85714286,9.642857143,16.53333333,66.40909091,37.625,59.33333333,22.5625,74.06666667,26.33333333,27.88235294,28.11764706,36.04545455,23.47619048,68.78571429,80.71428571,42.89473684,24.55555556
Between cousins,28.1,88.8125,83.95652174,38.35294118,91.77777778,57.57142857,59.875,42.83333333,71.27272727,73.73333333,15.94444444,76.05,79.92857143,86.26666667,9.928571429,14.30769231,55.41666667,24.54545455,70.92857143,6.285714286,69.13333333,6.583333333,42.42857143,11.35294118,3.266666667,20.78571429,68.15384615,80.64285714,20.25,4
Employer - Employee,61.55555556,7.9,12.58333333,83.88888889,43.25,80.86666667,72,84.4,82,58,47.75,32.85714286,27,10.28571429,98.16666667,4.636363636,89.64285714,38.7,67.76923077,31.4,82.53846154,89.85714286,79.72727273,79,94.55555556,89.35294118,51,67.21428571,13.6,97.83333333
Interviewer - Job applicant,66.58333333,11.14285714,42.3,80.66666667,15.23809524,80.9047619,23.76923077,66.25,71.33333333,54.33333333,15.4,13.64705882,11.23529412,3.894736842,95.73333333,5,84.13333333,24.59090909,60.58333333,20.6875,50.92857143,67.72727273,63.05555556,84.33333333,90.08695652,55.78571429,50,40.93333333,3,35.8
